docid	exp_genres	date	author	title	origgenres	origsubjs	remove
wu.89052496320	legends	1930.0	Ball, Richard	Broncho / | $c: by Richard Ball.		Horses|Legends and stories	 
mdp.39076002871668	historical fiction	2003.0	Avakian, Arra S	The eaglet / | $c: Arra Avakian.		History|428-640	 
inu.32000003257120	short stories	1930.0		The Week-end library : | issue of 1930.		Short stories	 
mdp.39015057609821	domestic fiction	1870.0	Dickens, Charles	Charles Dickens' Hard times / | $c: edited by Jeff Nunokawa, Gage McWeeny.	Political fiction|Novel|Bibliographies|Domestic fiction|Satire	Social problems|Utilitarianism|Education	 
mdp.39015057658984	psychological fiction	2004.0	Fox, Laurie Anne	The lost girls : | a novel / | $c: Laurie Fox.	Psychological fiction	Aging|Peter Pan (Fictitious character)|Middle-aged women	 
mdp.39015057659172	science fiction	1988.0	Heinlein, Robert A. (Robert Anson)	For us, the living : | a comedy of customs / | $c: by Robert A. Heinlein ; with an introduction by Spider Robinson ; and an afterword by Robert James.	Science fiction	Twenty-first century|Time travel|Traffic accident victims	 
pst.000002738079	folklore	1928.0	Bloomfield, Leonard	Menomini texts. | $c: New York, G. E. Stechert, agents, 1928.		Menominee Indians|Texts|Menominee language|Folklore	 
wu.89058387184	folklore	1974.0	Schwarz, Herbert T	Tales from the smokehouse / | $c: Herbert T. Schwarz ; illustrated by Daphne Odjig.		Indians of North America|Canada|Erotic stories, Indian|Folklore	 
inu.32000007776539	war stories	1930.0	Grant, Amy Gordon	Letters from Armageddon, | a collection made during the world war | $c: by Amy Gordon Grant.		World War, 1914-1918	 
nyp.33433075819171	historical fiction	1870.0	Dumas, Alexandre	Agénor de Mauléon / | $c: By Alexandre Dumas ...		History|Peter I, 1350-1369	 
inu.30000007177755	historical fiction	1974.0	Plaidy, Jean	The bastard king / | $c: Jean Plaidy [i.e. E. Hibbert].	Biographical fiction|Bibliographies	1027 or 8-1087|William|King of England|To 1515|Kings and rulers|William I, 1066-1087|History	 
mdp.39015057658851	domestic fiction	2004.0	Major, Marcus	A family affair / | $c: Marcus Major.	Domestic fiction	Adultery|African American families	 
inu.32000007264627	humor	1952.0	Wodehouse, P. G., (Pelham Grenville)	Pigs have wings / | $c: by P. G. Wodehouse ; [with a new preface by the author].	Humorous stories	Swine|Breeding	 
uc1.$b615509	war stories	1930.0	Federn, Karl	Baron Fritz, | $c: by Karl Federn, translated from the German by Donald Douglas.		World War, 1914-1918	 
inu.39000000575006	historical fiction	1974.0	Nicole, Christopher	Caribee / | $c: Christopher Nicole.	Biographical fiction|Historical fiction	Warner, Edward|Families|b. 1608 or 1609|Plantation life|Caribbean Area|History	 
nyp.33433086985888	folklore	1897.0	Sharp, William	The laughter of Peterkin : | a retelling of old tales of the Celtic wonderworld / | $c: by Fiona Macleod ; drawings by Sunderland Rollinson.	Juvenile audience	Folklore|Celts	 
uva.x000985542	fairy tales	1863.0	Grimm, Jacob	German household tales / | $c: by Jacob and Wilhelm Grimm, told again in English.	Juvenile audience	Fairy tales	 
uc1.b4529921	random	1870.0	Dumas, Alexandre	The nutcracker of Nuremberg, | $c: by Alexandre Dumas, pêre, with a preface by the author; illustrated with silhouettes cut by Else Hasselriis; translated by Grace Gingras.		Gingras, Grace	 
mdp.39015058135214	science fiction	2004.0	Myers, John Myers	Silverlock : | including The Silverlock companion / | $c: John Myers Myers ; edited by David G. Grubbs, Pam Freeman, Fred Lerner ; cover by Omar Rayyan.	Bibliographies	1906-|Science fiction, American|Fantasy fiction, American|Science fiction, American, English|Myers, John Myers|Dictionaries, indexes, etc|Imaginary places|History and criticism|Dictionaries|Magic	 
uc1.b3862844	science fiction	1974.0	Dickson, Gordon R	Ancient, my enemy | $c: [by] Gordon R. Dickson.		Science fiction, American	 
